Type of plastic,Catalyst used,Feed Quantity,Feed to catalyst ratio,Surface area (m2/g),Pore dia (Å),Pore volume (cm3/g),Calcination temperature (0C),Calcination time (min),Temperature (0C),Inert gas flow rate (mL/min),Residence time (min),Heating rate (0C/min),C (%),H (%),N (%),S (%),O (%),Volatile matter (%),Moisture (%),Ash (%),Fixed Carbon (%),HHV of feed (MJ/kg),HHV of oil (MJ/kg),Oil yield (%),Gas yield (%),Wax(%),SolidResidue/Coke(%),CO (vol. %),CO2 (vol. %),H2 (vol. %),CH4 (vol. %),Reference
HDPE,,,10,397,5,0.178,500,120,450,1500,4,,85.5,14.4,0,0,0.1,99.1,0,0.8,0.1,47.22,42.332,56,24,,,7.1,0.8,81.3,6.52,1
PP,,,10,397,5,0.178,500,120,450,1500,4,,85.3,14.3,0,0,0.4,99.3,0.1,0.1,0.5,46.68,43.138,48,40,,,7.2,0.8,78.4,8.6,1
WPP,kaolin,,1,51.66,95.1,0.441,500,180,500,80,30,5,,,,,,,,,,,,78.33,20.02,,,,,,,2
PS,bentonite clay,,0.05,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.547,88.5,,,,,,,,3
PS,bentonite clay,,0.1,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.459,87.9,,,,,,,,3
PS,bentonite clay,,0.15,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.696,88.1,,,,,,,,3
PS,bentonite clay,,0.2,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.769,88.2,,,,,,,,3
LDPE,bentonite clay,,0.05,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.121,86.6,,,,,,,,3
LDPE,bentonite clay,,0.1,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.251,87,,,,,,,,3
LDPE,bentonite clay,,0.15,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.395,86.9,,,,,,,,3
LDPE,bentonite clay,,0.2,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.436,87.6,,,,,,,,3
PP,bentonite clay,,0.05,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.659,90.2,,,,,,,,3
PP,bentonite clay,,0.1,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.763,90.5,,,,,,,,3
PP,bentonite clay,,0.15,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.776,90,,,,,,,,3
PP,bentonite clay,,0.2,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.896,89.9,,,,,,,,3
HDPE,bentonite clay,,0.05,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.191,88.7,,,,,,,,3
HDPE,bentonite clay,,0.1,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.351,88.4,,,,,,,,3
HDPE,bentonite clay,,0.15,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.661,88.9,,,,,,,,3
HDPE,bentonite clay,,0.2,47,109,0.13,,,500,10,10,10,,,,,,,,,,,44.75,88.7,,,,,,,,3
